ANIO_MES,AÑO,MES,MES_NOMBRE,ENTIDAD,CONCEPTO,TIPO,CASOS
2024-01,2024,1,ENERO,DURANGO,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,OTROS,1
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,TRANSPORTE,1
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,TRAFICO,1
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,TRANSPORTE,1
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,SUMINISTRO,1
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,PRODUCCION,1
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,TRAFICO,1
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,TRAFICO,1
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,OTROS,1
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,PRODUCCION,1
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,COMERCIO,1
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,TRANSPORTE,1
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,TRAFICO,1
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,TRANSPORTE,1
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,POSESION,1
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,PRODUCCION,0
