ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
PUEBLA,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,133.3,-42.9,25.0,-60.0,-50.0,0.0,300.0,-25.0,-100.0,,-100.0,,0.0,-100.0,,40.0,-28.6,0.0,20.0
PUEBLA,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,100.0,50.0,-66.7,0.0,100.0,-50.0,0.0,0.0,0.0,0.0,200.0,0.0,-66.7,0.0,0.0,0.0,100.0,0.0,0.0
PUEBLA,OTROS DELITOS,ELECTORALES,,,,,,,,,,,,,,,,,,,
PUEBLA,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,,,,,,,,,,,,,,,,,-100.0,,
PUEBLA,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",-37.5,-40.0,33.3,50.0,-16.7,-80.0,300.0,50.0,-33.3,100.0,12.5,11.1,-40.0,16.7,57.1,-54.5,20.0,83.3,-54.5
PUEBLA,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,28.6,-11.1,-75.0,350.0,-44.4,20.0,0.0,100.0,-41.7,-57.1,166.7,-25.0,-33.3,150.0,10.0,-63.6,100.0,0.0,25.0
PUEBLA,OTROS DELITOS,PATRIMONIALES,-6.8,10.1,5.3,16.2,2.2,-17.9,-1.3,3.9,16.2,-19.4,5.3,-24.1,15.0,4.3,-12.5,-19.0,3.9,9.4,13.8
PUEBLA,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,-25.0,33.3,-50.0,150.0,-20.0,-75.0,100.0,-100.0,,-16.7,40.0,-28.6,60.0,0.0,-12.5,-85.7,200.0,66.7,-40.0
QUERETARO,CONTRA LA SALUD,COMERCIO,,,0.0,0.0,-100.0,,,,,-100.0,,,,,,-100.0,,-100.0,
QUERETARO,CONTRA LA SALUD,OTROS,,-100.0,,,,,,,,-100.0,,,,-100.0,,,,,
