ENTIDAD,CONCEPTO,TIPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),5,16,7,3,1,6,15,8,6,13,16,21,58,23,31,33,53,65,54,36
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,1,0,1,1,7,3,1,0,0,1,0,0,0,0,0,0,2,4
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",1,0,1,1,0,0,0,1,4,1,0,1,0,2,1,0,0,0,0,1
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,11,16,13,10,18,23,28,21,11,49,5,11,12,6,18,12,16,13,11,23
BAJA CALIFORNIA,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,10,19,8,20,21,13,13,27,13,11,12,19,3,9,1,4,7,18,1,14
BAJA CALIFORNIA,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,1,0,0,1,4,0,1,2,1,3,2,1,1,0,2,2,2,2,4,3
BAJA CALIFORNIA,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,2,3,1,3,3,0,1,2,0,0,2,3,3,1,2,1,1,2,0,2
BAJA CALIFORNIA,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJA CALIFORNIA,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0
BAJA CALIFORNIA,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",1,10,7,8,14,17,8,11,13,9,15,7,12,5,3,17,7,8,10,17
BAJA CALIFORNIA,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,1,6,6,6,6,10,8,3,7,2,8,6,6,7,5,4,7,3,14,4
BAJA CALIFORNIA,OTROS DELITOS,PATRIMONIALES,42,40,37,13,52,38,38,33,34,18,34,24,34,28,27,28,22,29,25,47
BAJA CALIFORNIA,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,1,0,0,0,1,6,5,3,2,1,0,2,3,2,0,3,7,3,1,3
BAJA CALIFORNIA SUR,CONTRA LA SALUD,COMERCIO,1,2,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
BAJA CALIFORNIA SUR,CONTRA LA SALUD,OTROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BAJA CALIFORNIA SUR,CONTRA LA SALUD,POSESION,4,9,11,14,11,13,5,10,6,3,2,4,7,1,1,4,2,7,5,3
BAJA CALIFORNIA SUR,CONTRA LA SALUD,PRODUCCION,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BAJA CALIFORNIA SUR,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BAJA CALIFORNIA SUR,CONTRA LA SALUD,TRAFICO,1,1,0,1,1,2,0,3,2,1,2,0,3,1,2,3,1,1,4,5
BAJA CALIFORNIA SUR,CONTRA LA SALUD,TRANSPORTE,7,3,17,6,5,6,3,5,6,3,6,3,13,4,8,2,3,4,1,2
BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
BAJA CALIFORNIA SUR,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,6,3,4,1,4,2,1,5,1,1,6,6,8,5,5,5,10,5,2,4
BAJA CALIFORNIA SUR,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,1,0,0,0,0,1,1,1,2,0,1,0,1,5,0,0,0
BAJA CALIFORNIA SUR,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),4,2,3,2,1,4,2,1,2,1,0,3,2,1,3,3,1,2,1,1
